Dataset,Familia,Modelo,Tamaño,Semilla,Serializacion,Estrategia,Shots,Tiempo carga (s),Tiempo seleccion (s),Tiempo inferencia (s),Accuracy,Precision,Recall,F1-score,Muestras,Invalidas
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,List,Zero-shot,0,19.5,0.0,0.7014,0.6222,0.4576,0.931,0.6136,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,List,Few-shot,1,19.5,0.0021,0.7013,0.7444,0.6071,0.5862,0.5965,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,List,Few-shot,1,19.5,0.0015,0.6472,0.7,0.525,0.7241,0.6087,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,List,Few-shot,1,19.5,0.002,0.6851,0.7111,0.5405,0.6897,0.6061,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,List,Few-shot,2,19.5,0.0017,0.769,0.7556,0.6,0.7241,0.6562,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,List,Few-shot,2,19.5,0.0017,0.7831,0.6556,0.4815,0.8966,0.6265,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,List,Few-shot,2,19.5,0.0019,0.8257,0.7444,0.5789,0.7586,0.6567,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,List,Few-shot,4,19.5,0.0021,0.8914,0.7333,0.5926,0.5517,0.5714,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,List,Few-shot,4,19.5,0.0017,0.8972,0.7111,0.5366,0.7586,0.6286,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,List,Few-shot,4,19.5,0.0021,0.9746,0.6556,0.48,0.8276,0.6076,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,List,Few-shot,8,19.5,0.0018,1.2671,0.7444,0.575,0.7931,0.6667,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,List,Few-shot,8,19.5,0.0022,1.2188,0.7667,0.5909,0.8966,0.7123,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,List,Few-shot,8,19.5,0.0017,1.2607,0.7556,0.5814,0.8621,0.6944,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,Text,Zero-shot,0,19.5,0.0,0.7118,0.5778,0.4237,0.8621,0.5682,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,Text,Zero-shot,0,19.5,0.0,0.7098,0.6333,0.4655,0.931,0.6207,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,Text,Zero-shot,0,19.5,0.0,0.7117,0.6,0.4426,0.931,0.6,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,Text,Few-shot,1,19.5,0.0022,0.6448,0.7556,0.64,0.5517,0.5926,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,11235,Text,Few-shot,1,19.5,0.0015,0.6816,0.7333,0.5581,0.8276,0.6667,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,16180,Text,Few-shot,1,19.5,0.0015,0.6145,0.7222,0.5588,0.6552,0.6032,90,0
Heart,Qwen,Qwen/Qwen2.5-14B-Instruct,Medium,27182,Text,Few-shot,2,19.5,0.0016,0.7407,0.7,0.5294,0.6207,0.5714,90,0
